ResponseId,001 - Response,002 - Response,003 - Response,004 - Response,005 - Response,006 - Response,007 - Response,008 - Response,009 - Response,010 - Response,011 - Response,012 - Response,013 - Response,014 - Response,015 - Response,016 - Response,017 - Response,018 - Response,019 - Response,020 - Response,021 - Response,022 - Response,023 - Response,024 - Response,025 - Response,026 - Response,027 - Response,028 - Response,029 - Response,030 - Response,031 - Response,032 - Response,033 - Response,034 - Response,035 - Response,036 - Response,037 - Response,038 - Response,039 - Response,040 - Response,041 - Response,042 - Response,043 - Response,044 - Response,045 - Response,046 - Response,047 - Response,048 - Response,049 - Response,050 - Response,051 - Response,052 - Response,053 - Response,054 - Response,055 - Response,056 - Response,057 - Response,058 - Response,059 - Response,060 - Response,VVIQ - 01,VVIQ - 02,VVIQ - 03,VVIQ - 04,VVIQ - 05,VVIQ - 06,VVIQ - 07,VVIQ - 08,VVIQ - 09,VVIQ - 10,VVIQ - 11,VVIQ - 12,VVIQ - 13,VVIQ - 14,VVIQ - 15,VVIQ - 16
R_7ikqRNbiqOG98sh,,,,,,,arrow,,,unsure,,,,,square with a diamond in the middle,,,unsure,unsure,,,,,,bed,,,,,,,,,,bow tie,,,,,,,,unsure,,face with a nose,,unsure,,,slingshot upside down,,plus sign ,lightening bolt,,,,hourglass,,house,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",5. Perfectly clear and as vivid as normal vision,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",5. Perfectly clear and as vivid as normal vision,"1. No image at all, you only 'know' that you are thinking of the object",4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_3zjUkGkE3FsX1RL,,Ladder,,,,,,,Butterfly,Fork,,,,,,Ice cream,,Martini,,Sunrise,,Fish,,Horse,,,,,,Drill,,,Stick,,,,,,,,,,,Butterfly,,,,,,,,,Sailboat,Brush,Tree,,,,House,,3. Moderately clear and vivid,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_5dnySa1ce8EsOdt,,,,,,,Christmas Tree,Butterfly,,Pitchfork,,,Umbrella,,House,,,Incomplete heart,,,,Flag,,,,,Door,,,Arrow,,,,,,Bird feet,,,,,Mug,Lined square,,,,,Pill,,,Standing lamp,,,,,,,,,House,,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_6VQHLZ7aMXrAeuc,Ladder,,,,Chair,Shades,,,,Comb,,,,,,Volcano ,,Pencil,,,,Icecream cone,Stop sign,,,,,Glasses,Fish,Boat,,,,,,,Tree,,,,Mailbox,,,,,,,,Pizza,,,,,,,,,,House,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_7AWa8yqYLHwffXz,,,,,,,tetrahedron,butterfly ,butterfly ,square ,,semicircle ,pentgon,,square ,,,parabola ,,,,,,,,,rectangle ,cylinder ,,,,,,,cone,,,,,,heart,,,infinity symbol,,,,,,,,,,,,,,umbrella ,rhombus ,,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid
R_3fZQKPrA5XxeCM0,,,umbrella,,vase,,,,,,,,,,,,necklace,,,flower pot,,,,,,,,,,person,,,,bow,,,,cone,,box ear,,,pie chain,,,,cross circle,,heart,,,,sailboat,,wine glass,,hourglass,,christmas tree,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_6G88HMPnMd2CyLe,,,,,,,,Butterfly,,,pitchfork,,,,,,,,butterfly,,,,,chair,chair,,,,,,,wine glass,,,,,,ice cream cone,dragon fly,,,window,so,,,,computer mouse ,,M triangle,stickman,,,,,,,two triangles ,,christmas tree,,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim
R_7iwHIm3XZH8niBo,,ladder,,,,,,,,pitchfork,,,,,,ice cream,,,,,,,,,,flag,,,spade,,,,shovel,,cloudy mountain,bird footprint,,,,,,,corkscrew,,clock,medal,,,,,,letter F,,key,yield sign,,,,planted tree,,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid
R_3qK9HL1UIzK92MG,,,,,glasses,,,butterfly,,,goal post,,,,,,,,jellyfish,,,,,,,Flag,,,beach umbrella,,,Wine glass,cupcake,,,,Cherries,ice cream cone,,Clock,,,,apple,,,,,,,,,sailboat,music note,,,,,Tree,,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_616NzOp9CQR5coo,,,,I couldn't imagine the shape,,,,,,fork,,shovel,,,,,,,,,,,,letter N,triangle,triangle,2 square stacked into each other,face with eyes,shovel,,,,,,bow tie,,,,,bucket,,,,,,I couldn't imagine anything,,letter X,,,,I couldn't imagine the shape at all,,,,,,,Tree,,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,"1. No image at all, you only 'know' that you are thinking of the object",5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object"
R_6v6cp0SNipCZJqV,,ladder,,,,,,,,pitchfork,,,,,,cone,cone,cone,wang jangle,person,,triangle circle,,,,flag,thingy,,,wing ding,,,,,,,,,,,,,,,lefty,,circular shrug,,,,,letter F,,,,,,,tree,,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_3Wu3EGpCFW6Qbuk,,,female torso,,,,arrow,,,,,,martini glass,,house,,,,,,circle atop,,,,,carat stem,,,,,,martini glass,,,,,,,,rectangle bulge,square bulge,vertical rectangles,,,,,,,,stick figure,TV,,,,martini glass,,stacked triangles,,triangle atop,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_7rGSNqpHRRXGZWh,,two attached triangles,poll,,,,,,,two open attached triangles,,,,semi-circle,,,,van,,,,,,Letter H,,triangle attached to a straight line,rectangle,,,,,nine,semicircle,,,tree diagram,,,,,trapezium,,,,,,,,,,weighing balance,,,,,,concave quadrilateral,letter g,,,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_7U2V9B5aP4N5bKp,,H,bd ,,bd,Infinity sign,,Butterfly,,,,,,,,,Head,,,,,,,,,,,Lollipops,,HE,,tree,,,,,,Ice cream cone,,Unsure,,,,Elephant ears,Circle,,,,,,,,,,,V in circle,,letter g,,,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_6NaHI4FRAJFo4fZ,,,,,,,,,,,bug crawling,umbrella,,,,,,,,,,,Yinyang Medallion,,Lower H,,,,,,Sun Horizon,,Upsidedown Umbrella,,face,,animal,,,,,Small Rectangles,,,,Chinese Character,,Drawn Bow,,,,,sailboat,Music Note,,,Small Peaks,Motor Boat,,,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid
R_3fkIyfPjf94dl8o,,,dried,,db,,wow,,,EI,,Dried,,Study,,,,,,,,,Pool,,,,,,,,WMO,,,,,,,,,,,,,,,Bride,,,Triangle,mirror,,cross,,Fed,,circle,,Song,,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision
R_7onYeAhpKiYWobL,,,hook,,Glasses,,,,,,,,,,,,,Cone,,Trophy,Bulb,Math symbol,Lollipop ,Thread holder,,,,,,,,,,Owl face,,,,Ice cream ,Hourglass,,,,,,,,,,Antennae ,,Satellite dish,,,,,,Electric symbol,Umbrella,,,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim
R_1mbwAksBbHkjRxT,ladder,,,,scissors,,,circle,,,,,Wine glass,,,,,cone,,person,Ear,,lollipop,,,,,,,,,,,Face,,tripod,balloon,,,,,,,,,,ball,,,,Television,,,,,,hourglass,Umbrella,,,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim
R_1riWAwAgFR9OYj9,,,,,,,,butterfly,,,,downward umbrella,chalice,owl,,,snowcone,,,Human Profile,,horn,,,,flag,,,,shovel,,,,,,,,,,,,window,,,,,,letter T,,,tv,,,music note,,beats symbol,,umbrella,,,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object",4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid
R_71C2kK0ya2WVTj3,tower,,,,,,,long diamond,,,,,,Huge circle,,,house roof,,,,,cone and face,,,Fallen tree,,,circle,,,,,,,,,Race track,Venn diagram,,House,,,,Semicircle,balloon,,,,,,,Square rotated,,,,circle,,Umbrella,,,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision
R_53wlqQMRl8RoPUR,,,doorway,,glasses,,,,,,,,shovel,horseshoe,,,,,,snowman,,,,,,flag,parking lot,glasses,shovel,basket,,,,bird,,,,,,,,,,,,lamp,,,,,,letter F,,,,clock,,umbrella,,,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_3hrNeSuAdYDCaL7,,,,,,,pair of arrows,,butterfly,A T with two small bars on the side,,buoy,,,,,,,,,,,,,chair,,,,,I don't kniw,,,,,face,,,,,,A box with a bump on the right,HI,,,,I'm not sure,balloon,,evil chibi face,,TV,,,,,clock,,umbrella,,,3. Moderately clear and vivid,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object",4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_6mXDO57GGpQM4Q8,ladder,,glasses,,glasses,,,butterfly,,,,,,alien,,,,ice cream,,,,,,,,flag,,,potted plant,,,wine glass,tank turret,,,,,,,,,window,,,,,,,heart,person,,,,,,clock,,umbrella,,,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision
R_3NDJv5Msv9mPkGK,ladder,,,,,,,,,,,,wine glass,headphones,house,,,,,,,fish,lollipop,chair,,flag,,,,,,,,,scissors,,,,,pitcher,,,,pocketwatch,,,,,heart,,,,sailboat,,martini glass,,,umbrella,,,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_3cl2IMba6u7Q2Nr,,,bra,,,,,,,,candelabra,chalice,,,house,sno-cone,,,,,,,balloon,,,,,,shovel,,,,dustpan,,,,,ice cream,ice cream,Unsure!,,,unicycle,,,,Kite,,,,,,,,martini glass,,,umbrella,,,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid
R_6NWzqbX4O0AMjJv,,,cherries,,,glasses,,,,something?,,,wine glass,,,ice cream ,,ice cream,,person,,,,,,,door,,,fish bone,,,,,,,,ice cream,,,,window,,ink pencil,,,,,,,,capital F,,music note,,,,umbrella,,,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_5LqyB71r6ag7pal,,,cherry,,,,arrow,butterfly,butterfly,,goal post,,umbrella,,,icecream cone,,,,,,,,,,,,,,the letters HD,,,,,,,,triple scoop ice cream cone,,lock standing sideways,,,,hanger,a circled L,,Wings,,,,,,,music note,,,,umbrella,,,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_7PodChoqtIWfEkN,ladder,,,,,batman mask,,,,,rake,,upended umbrella,,,icecream cone,,,nothing,,,,weathervane,,,,,,,,,,planted sapling,,,tripod,butterfly,,,,,,,,,,,letter T,,person,headstanding man,letter F,,,,,,umbrella,,,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,3. Moderately clear and vivid
R_1IbBFfixZh63O47,,,,,glasses,,,,,,,desk,,,,,goblet,drop hook,,snowman,pictogram,closed eye,,goal post,pole,,,,Anchor,,,,,,,slingshot handle,,,,,,table frame,,,circle,,,,,,,,arrow,,,,cross brace,,,,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_5DAIrNhtzGGUJgt,,,,,key,controller,,butterfly,,key,,,,,,,icecream cone,,,,,fish,,,,,,,,train,flower,lamp,,bow,,,,,,,,,,sword,,,,letter T,,,television,,sailboat,,,,hourglass,,,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_3gw89p3wacWQFRn,,,Fancy binoculars,Glasses,,Glasses,,,,Rake,,Butter Churner,,Headphones,,,,,,,,,,,,Flag,Ruler,,,,,,plunger,Binoculars,,,,,,,Water Pitcher,,,Computer Mouse,,,Yo-yo,,,,,,sailboat,,,,Hourglass,,,,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision
R_57Jf15YvbX6JX9g,,,,,,glasses,,,butterfly,i dont know,,wine glass,,,house,,funnel,icecream cone,,,,,,,,flag pole,Door,,,,,,,,,,,,,coffee cup,,window,sucker,I have no idea,,,,,,,,,sailboat,,,,hourglass,,,,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_6ieepBYwPOcVPZO,ladder,ladder,,,,,,bread,butterfly,,,,,,,,,,,,,,,,,,coconut,,,,,,,scissors,scissors,,flower,,ice cream,,mug,,,,,,,knife,,stick figure,,,,music note,wine glass,,hourglass ,,,,4. Clear and reasonably vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_6HnmuPESQ911bSs,Stacked H's,,,bd,,,,,,,,D on stilts,,Contained Ds,,,,,,,,,,,,broken arrow,,,Joined H D,,Staffed 'o',,,Infinity symbol,,,bow tie,"Stacked ""oov.",stacked symbol,,,H shape,Line-topped 'o'.,,,,,,,,,,,,,Half 'k' in circle,Rotated grid,,,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid
R_7HiuT8KLZwyWhV9,,,broom,,two lungs,,arrow,,,,,,,,,,glass,water glass,,,,,superman logo,,table,,parallel lines,ribbon,,,,,,,,,boy,butterfly,butterfly,,,,,,,human face,,,,,television,,,,,,table,,,,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,2. Vague and dim,2. Vague and dim
R_30x9wSvmkEmbVoB,ladder ,Ladder,,,,,,,,,,,,,,,,,chess,,,,brain,,,,,sunglasses,,cross,,anchor,car,,,,flower,,,padlock,,,theta,,,heart ,,,,human sketch ,,,,,anchor ,clock,,,,,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,2. Vague and dim,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision
